Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C0603,163.000000,-109.250000,270.0,Top
C2,10uF,C0402,159.750000,-112.170000,270.0,Top
C3,100nF,C0402,158.500000,-112.170000,270.0,Top
C5,1uF,C0402,150.500000,-98.830000,90.0,Top
C6,100nF,C0402,151.500000,-98.830000,90.0,Top
J1,PH-6P立贴,CONN-SMD_6P-P2.0-L14.0-W5.4,136.697500,-99.750000,90.0,Top
J2,210-A-SMD/02,CONN-SMD_210-A-SMD-02,154.909910,-94.104535,142.0,Top
R1,5.1k,R0402,135.250000,-92.680000,90.0,Top
R2,5.1k,R0402,137.320000,-90.000000,0.0,Top
R3,10k,R0402,141.250000,-113.820000,90.0,Top
R4,1k,R0402,144.250000,-98.070000,90.0,Top
R5,100k,R0402,143.000000,-98.180000,90.0,Top
SW1,BOOT,SW-SMD_L3.9-W3.0-P4.45,163.000000,-105.500000,0.0,Top
SW2,RST,SW-SMD_L3.9-W3.0-P4.45,139.180000,-110.000000,180.0,Top
U1,ESP32-S3-MINI-1U-N4R2,BULETM-SMD_ESPRESSIF_ESP32-S3-MINI-1U-N8,150.000000,-107.500000,180.0,Top
U2,MAX98357AETE+T,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,147.000000,-97.750000,270.0,Top
U3,MPM3810GQB-33-Z,QFN-12_L3.0-W2.5_MPM3810AGQB-AEC1,160.550000,-109.060000,0.0,Top
